id;id_prod;id_alm;cantidad
1;1334;1;2
2;1285;1;2
3;1316;1;2
4;1292;1;4
5;1294;1;10
6;1293;1;10
7;1367;1;300
8;1352;1;46
9;1337;1;10
10;1336;1;6
11;1338;1;43
12;1279;1;5
13;1353;1;5
14;1369;1;0
15;1370;1;41
16;1385;1;386
17;1384;1;60
18;1473;1;386
19;1314;1;50
20;1280;1;20
21;1282;1;4
22;1467;1;3
23;1464;1;4
24;1465;1;4
25;1220;1;4
26;1221;1;4
27;1432;1;4
28;1433;1;4
29;1470;1;4
30;1471;1;4
31;1412;1;3
32;1427;1;4
33;1408;1;4
34;1224;1;4
35;1228;1;4
36;1500;1;10
37;1501;1;13
38;1502;1;20
39;3452;1;12
40;1449;1;50
41;1270;1;4
42;1232;1;49
43;1233;1;24
44;1429;1;8
45;1363;1;0
46;1364;1;12
47;1356;1;4
48;1281;1;4
49;1350;1;12
50;1361;1;140
51;1360;1;207
52;1359;1;20
53;1335;1;2
54;1409;1;2
55;1333;1;20
56;1222;1;16
57;1405;1;7
58;1286;1;4
59;1400;1;4
60;1247;1;4
61;3456;1;7
62;1236;1;2
63;1401;1;4
64;1318;1;266
65;1317;1;0
66;1308;1;500
67;1298;1;476.5
68;1301;1;0
69;4179;1;70
70;1296;1;6
71;1300;1;50
72;1302;1;100
73;1392;1;1
74;4290;1;6
75;1244;1;1
76;1243;1;1
77;1245;1;1
78;1523;1;1
79;1441;1;1
80;1442;1;1
81;1345;1;1
82;1319;1;1
83;1402;1;1
84;1271;1;1
85;1272;1;1
86;4294;1;270
87;4295;1;266
88;1258;1;170
89;1257;1;154
90;1398;1;20
91;1254;1;20
92;4298;1;20
93;1482;1;159
94;1489;1;20
95;1490;1;20
96;4299;1;20
97;1517;1;378
98;4300;1;20
99;1399;1;20
100;1454;1;25
101;2941;1;100
102;1331;1;33
103;4180;1;96
104;1235;1;5
105;1311;1;25
106;1290;1;33
107;1291;1;5
108;3012;1;195
109;2728;1;222
110;4181;1;250
111;4183;1;246
112;4185;1;80
113;4186;1;92
114;4187;1;244
115;4188;1;100
116;1259;1;248
117;1260;1;100
118;4189;1;250
119;4190;1;249
120;4191;1;250
121;4192;1;100
122;4193;1;186
123;4194;1;84
124;4195;1;100
125;4196;1;200
126;1276;1;92
127;2921;1;100
128;2920;1;100
129;4197;1;194
130;4198;1;100
131;1483;1;148
132;4199;1;106
133;3020;1;100
134;3021;1;328
135;1514;1;72
136;1515;1;143
137;4200;1;100
138;1516;1;148
139;4863;1;80
140;1375;1;2850
141;2495;1;22
142;4202;1;5
143;1403;1;5
144;1312;1;0
145;1536;1;10
146;1371;1;0
147;1534;1;15
148;1372;1;48
149;1374;1;0
150;4203;1;98
151;1439;1;19
152;4205;1;25
153;4206;1;4
154;1239;1;5
155;1413;1;5
156;4207;1;5
157;1416;1;10
158;1419;1;10
159;1421;1;4
160;1423;1;5
161;1424;1;5
162;1425;1;5
163;1426;1;5
164;4208;1;5
165;4210;1;5
