id_prod;image;us_crea;date_crea
1000;ID=1000 .JPG;1;2015-10-29
1001;ID=1001, Caja para dados de Prensadora  hidrÃ¡ulica  - copia.JPG;2;0000-00-00
1003;ID=1003, .JPG;1;2015-08-04
1004;ID=1004, 8WL7230-0A .jpg;2;0000-00-00 00:00:00
1005;ID=1005, .JPG;2;0000-00-00 00:00:00
1006;ID=1006, .JPG;2;0000-00-00 00:00:00
1007;ID=1007, .JPG;2;0000-00-00 00:00:00
1008;ID=1008, Taladro magnÃ©tico.JPG;2;0000-00-00 00:00:00
1010;ID=1010, Planta elÃƒÂ©ctrica 5 kV EG5000, Semi-silenciosa .JPG;2;0000-00-00 00:00:00
1013;ID=1013, .JPG;2;0000-00-00 00:00:00
1042;ID=1042, .JPG;2;0000-00-00 00:00:00
1114;ID=1114, .JPG;1;2015-09-02
1115;ID=1115, L25010-A2-E312  .JPG;1;2015-08-04
1212;ID=1212, .JPG;2;0000-00-00 00:00:00
1213;ID=1213, .JPG;1;2015-09-10
1220;ID=1220, 8WL2114-1.JPG;2;0000-00-00 00:00:00
1221;ID=1221, 8WL2115-1.JPG;2;0000-00-00 00:00:00
1222;ID=1222, 8WL5134-0.JPG;2;0000-00-00 00:00:00
1224;ID=1224, 8WL2148-5.JPG;2;0000-00-00 00:00:00
1228;ID=1228, 8WL2148-6.JPG;2;0000-00-00 00:00:00
1232;ID=1232, 8WL3088-1A.JPG;2;0000-00-00 00:00:00
1233;ID=1233, 8WL3088-2E.JPG;2;0000-00-00 00:00:00
1235;ID=1235, CR-AISS-002.JPG;2;0000-00-00 00:00:00
1236;ID=1236, 8WL5545-7A.JPG;2;0000-00-00 00:00:00
1237;ID=1237, 552921.JPG;2;0000-00-00 00:00:00
1239;ID=1239, J4231-S001-C.JPG;2;0000-00-00 00:00:00
1243;ID=1243, D.0185-EL-J4221-S002.JPG;2;0000-00-00 00:00:00
1244;ID=1244, D.0185-EL-J4221-S001.JPG;2;0000-00-00 00:00:00
1245;ID=1245, D.0185-EL-J4221-S003.JPG;2;0000-00-00 00:00:00
1247;ID=1247, DBB081022X-08.JPG;2;0000-00-00 00:00:00
1252;ID=1252, .JPG;2;0000-00-00 00:00:00
1254;ID=1254, .JPG;2;0000-00-00 00:00:00
1257;ID=1257, DIN127-B20-FST-A2 .JPG;1;2015-11-30
1258;ID=1258, .JPG;2;0000-00-00 00:00:00
1259;ID=1259, .JPG;2;0000-00-00 00:00:00
1260;ID=1260, .JPG;2;0000-00-00 00:00:00
1270;ID=1270, 8WL2196-3.JPG;2;0000-00-00 00:00:00
1271;ID=1271, .JPG;2;0000-00-00 00:00:00
1272;ID=1272, .JPG;2;0000-00-00 00:00:00
1276;ID=1276, .JPG;2;0000-00-00 00:00:00
1279;ID=1279, .JPG;2;0000-00-00 00:00:00
1280;ID=1280, 8WL2003-3.JPG;2;0000-00-00 00:00:00
1281;ID=1281, .JPG;2;0000-00-00 00:00:00
1282;ID=1282, .JPG;2;0000-00-00 00:00:00
1283;ID=1283, BR-CON-EXT.JPG;2;0000-00-00 00:00:00
1284;ID=1284, BR-CON-INT.JPG;2;0000-00-00 00:00:00
1285;ID=1285, 8WL1018-3.JPG;2;0000-00-00 00:00:00
1286;ID=1286, 8WL5170-1.JPG;2;0000-00-00 00:00:00
1290;ID=1290,Brida de conexion doble.JPG;2;0000-00-00 00:00:00
1291;ID=1291, CR-EST-01.JPG;2;0000-00-00 00:00:00
1292;ID=1292, .JPG;2;0000-00-00 00:00:00
1293;ID=1293, .JPG;2;0000-00-00 00:00:00
1294;ID=1294, .JPG;2;0000-00-00 00:00:00
1295;ID=1295, .JPG;2;0000-00-00 00:00:00
1296;ID=1296.JPG;2;0000-00-00 00:00:00
1298;ID=1298, 8WL7062-0.JPG;2;0000-00-00 00:00:00
1300;ID1300, 8WL7091-6.JPG;2;0000-00-00 00:00:00
1301;ID=1301, 8WL7076-0 .JPG;2;0000-00-00 00:00:00
1302;ID=1302, 8WL7093-2.JPG;2;0000-00-00 00:00:00
1308;ID=1308, 8WL7055-0.JPG;2;0000-00-00 00:00:00
1311;ID=1311, CR-CAR-734AL .jpg;2;0000-00-00 00:00:00
1312;ID=1312, J4211-S001.JPG;2;0000-00-00 00:00:00
1314;ID=1314, .JPG;2;0000-00-00 00:00:00
1316;ID=1316, 8WL1028-0.JPG;2;0000-00-00 00:00:00
1317;ID=1317, .JPG;2;0000-00-00 00:00:00
1318;ID=1318, 8WL6743-0.JPG;2;0000-00-00 00:00:00
1319;ID=1319, .JPG;2;0000-00-00 00:00:00
1320;ID=1320, J4255-S002-C.JPG;2;0000-00-00 00:00:00
1321;ID=1321, J4255-S002-E.JPG;2;0000-00-00 00:00:00
1322;ID=1322, J4255-S002-F.JPG;2;0000-00-00 00:00:00
1323;ID=1323, J4255-S002-G.JPG;2;0000-00-00 00:00:00
1328;ID=1328, J4255-S001-C (2).JPG;1;2015-11-30
1329;ID=1329, J4255-S001-E.JPG;2;0000-00-00 00:00:00
1330;ID=1330, J4255-S001-F.JPG;2;0000-00-00 00:00:00
1331;ID=1331, CAT-AIS-001.JPG;2;0000-00-00 00:00:00
1333;ID=1333, 8WL5104-0.JPG;2;0000-00-00 00:00:00
1334;ID=1334, 8WL1018-0.JPG;2;0000-00-00 00:00:00
1335;ID=1335, 8WL5006-1A.JPG;2;0000-00-00 00:00:00
1336;ID=1336, .JPG;2;0000-00-00 00:00:00
1337;ID=1337, .JPG;2;0000-00-00 00:00:00
1338;ID=1338, .JPG;2;0000-00-00 00:00:00
1345;ID=1345, D.0185-EL-J4311-S002.JPG;2;0000-00-00 00:00:00
