id;tipo;id_doc;id_prod;cantidad;us_crea;date_crea
1;SAL;53;3026;1;1;2014-12-10
2;SAL;54;4258;1;1;2014-12-18
3;SAL;26;4949;1;1;2015-02-04
4;SAL;1;4571;16;1;2015-03-18
5;SAL;2;4571;58;1;2015-03-18
6;SAL;2;3364;120;1;2015-03-18
7;SAL;2;5113;20;1;2015-03-18
8;SAL;5;1003;1;1;2015-03-19
9;DEV;1;1003;1;1;2015-03-19
10;SAL;6;5090;1;1;2015-03-20
11;SAL;7;2719;1;1;2015-03-24
12;SAL;7;2672;1;1;2015-03-24
13;SAL;7;4245;1;1;2015-03-24
14;SAL;7;3034;2;1;2015-03-24
15;SAL;7;3036;1;1;2015-03-24
16;SAL;7;2718;1;1;2015-03-24
17;SAL;7;4756;1;1;2015-03-24
18;SAL;7;3011;1;1;2015-03-24
19;SAL;8;4640;1;1;2015-03-25
20;DEV;2;4640;1;1;2015-03-26
21;SAL;7;3033;2;1;2015-03-27
22;SAL;7;4243;2;1;2015-03-27
23;SAL;7;3038;2;1;2015-03-27
24;SAL;7;3041;1;1;2015-03-27
25;SAL;7;3035;1;1;2015-03-27
26;SAL;7;3037;1;1;2015-03-27
27;SAL;7;4751;1;1;2015-03-27
28;SAL;7;3040;1;1;2015-03-27
29;DEV;3;3034;2;1;2015-04-02
30;DEV;3;3011;1;1;2015-04-02
31;DEV;3;2672;1;1;2015-04-02
32;DEV;3;3036;1;1;2015-04-02
33;DEV;3;2718;1;1;2015-04-02
34;DEV;3;2719;1;1;2015-04-02
35;DEV;3;4756;1;1;2015-04-02
36;DEV;3;3033;2;1;2015-04-02
37;DEV;3;4243;2;1;2015-04-02
38;DEV;3;3038;2;1;2015-04-02
39;DEV;3;3041;1;1;2015-04-02
40;DEV;3;3035;1;1;2015-04-02
41;DEV;3;3037;1;1;2015-04-02
42;DEV;3;4751;1;1;2015-04-02
43;DEV;3;3040;1;1;2015-04-02
44;DEV;18;3364;40;1;2015-04-08
45;SAL;9;5090;1;1;2015-04-10
46;SAL;10;2345;1;1;2015-04-17
47;SAL;10;5182;1;1;2015-04-17
48;SAL;10;5183;1;1;2015-04-17
49;SAL;10;5097;1;1;2015-04-17
50;SAL;10;4317;1;1;2015-04-17
51;ENT;1;2345;2;1;2015-04-17
52;ENT;1;4317;2;1;2015-04-17
53;ENT;1;5178;1;1;2015-04-17
54;ENT;1;5180;1;1;2015-04-17
55;ENT;1;5179;1;1;2015-04-17
56;ENT;1;5097;20;1;2015-04-17
57;ENT;1;5181;1;1;2015-04-17
58;ENT;2;5182;2;1;2015-04-17
59;ENT;2;5183;2;1;2015-04-17
60;SAL;15;1364;1;1;2015-04-20
61;SAL;55;5075;3;1;2015-04-21
62;SAL;16;4660;1;1;2015-04-22
63;SAL;32;2346;1;1;2015-04-27
64;SAL;32;4710;1;1;2015-04-27
65;SAL;32;4480;1;1;2015-04-27
66;SAL;32;4395;1;1;2015-04-27
67;SAL;32;2334;1;1;2015-04-27
68;SAL;30;4710;1;1;2015-04-28
69;SAL;30;2346;1;1;2015-04-28
70;SAL;17;5067;1;1;2015-04-28
71;SAL;18;2355;1;1;2015-04-28
72;SAL;19;1298;3.5;1;2015-04-29
73;SAL;19;1473;4;1;2015-04-29
74;SAL;19;1360;2;1;2015-04-29
75;SAL;19;1369;4;1;2015-04-29
76;SAL;19;1385;4;1;2015-04-29
77;SAL;37;2346;1;1;2015-05-01
78;SAL;37;2334;1;1;2015-05-01
79;SAL;37;4480;1;1;2015-05-01
80;SAL;37;4710;1;1;2015-05-01
81;SAL;25;1369;16;1;2015-05-07
82;SAL;25;1385;20;1;2015-05-07
83;SAL;25;1473;20;1;2015-05-07
84;SAL;25;1360;10;1;2015-05-07
85;SAL;25;1298;20;1;2015-05-07
86;DEV;3;4245;1;1;2015-05-11
87;DEV;19;4949;1;1;2015-05-14
88;DEV;20;5067;1;1;2015-05-19
89;SAL;27;4735;1;1;2015-05-19
90;SAL;41;5179;1;1;2015-05-26
91;SAL;41;5180;1;1;2015-05-26
92;SAL;41;5178;1;1;2015-05-26
93;SAL;41;5181;1;1;2015-05-26
94;SAL;45;4681;1;1;2015-05-29
95;SAL;46;3239;2;1;2015-05-29
96;SAL;47;4329;1;1;2015-06-01
97;SAL;46;4690;2;1;2015-06-01
98;DEV;21;3239;2;1;2015-06-01
99;SAL;49;4243;1;1;2015-06-03
100;SAL;50;4736;1;1;2015-06-10
101;SAL;51;4329;2;1;2015-06-12
102;DEV;22;4329;2;1;2015-06-15
103;SAL;52;4736;1;1;2015-06-19
104;SAL;56;1331;1;1;2015-07-03
105;SAL;56;5115;2;1;2015-07-03
106;SAL;56;5114;2;1;2015-07-03
107;SAL;56;5073;2;1;2015-07-03
108;SAL;57;5116;2;1;2015-07-21
109;SAL;58;1318;1;1;2015-07-21
110;SAL;58;1317;18;1;2015-07-21
111;SAL;60;5116;1;1;2015-07-21
112;SAL;61;4832;1;1;2015-07-22
113;SAL;61;3027;1;1;2015-07-22
114;SAL;61;4731;1;1;2015-07-22
115;SAL;61;5163;2;1;2015-07-22
116;SAL;61;5177;2;1;2015-07-22
117;SAL;61;5176;2;1;2015-07-22
118;SAL;61;5173;1;1;2015-07-22
119;SAL;61;5172;1;1;2015-07-22
120;SAL;61;5171;1;1;2015-07-22
121;SAL;61;5168;4;1;2015-07-22
122;SAL;61;5164;4;1;2015-07-22
123;SAL;61;5170;4;1;2015-07-22
124;SAL;61;5155;4;1;2015-07-22
125;SAL;61;5165;8;1;2015-07-22
126;SAL;61;5154;4;1;2015-07-22
127;SAL;61;5162;2;1;2015-07-22
128;SAL;61;5158;4;1;2015-07-22
129;SAL;61;5159;4;1;2015-07-22
130;SAL;61;5156;4;1;2015-07-22
131;SAL;61;5160;2;1;2015-07-22
