id;tipo;doc;id_prod;cantidad;us_crea;date_crea
1;SAL;Gesman 3495;3026;1;1;2014/12/10
2;SAL;SNO-5453;4258;1;1;2014/12/18
3;SAL;GESMAN 4847;4949;1;1;2015/02/04
4;SAL;45428;4571;16;1;2015/03/18
5;SAL;45428-1;4571;58;1;2015/03/18
6;SAL;45428-1;3364;120;1;2015/03/18
7;SAL;45428-1;5113;20;1;2015/03/18
8;SAL;45613;1003;1;1;2015/03/19
9;DEV;45613;1003;1;1;2015/03/19
10;SAL;Gesman 5826;5090;1;1;2015/03/20
11;SAL;45659;2719;1;1;2015/03/24
12;SAL;45659;2672;1;1;2015/03/24
13;SAL;45659;4245;1;1;2015/03/24
14;SAL;45659;3034;2;1;2015/03/24
15;SAL;45659;3036;1;1;2015/03/24
16;SAL;45659;2718;1;1;2015/03/24
17;SAL;45659;4756;1;1;2015/03/24
18;SAL;45659;3011;1;1;2015/03/24
19;SAL;45712;4640;1;1;2015/03/25
20;DEV;45712;4640;1;1;2015/03/26
21;SAL;45659;3033;2;1;2015/03/27
22;SAL;45659;4243;2;1;2015/03/27
23;SAL;45659;3038;2;1;2015/03/27
24;SAL;45659;3041;1;1;2015/03/27
25;SAL;45659;3035;1;1;2015/03/27
26;SAL;45659;3037;1;1;2015/03/27
27;SAL;45659;4751;1;1;2015/03/27
28;SAL;45659;3040;1;1;2015/03/27
29;DEV;45659;3034;2;1;2015/04/02
30;DEV;45659;3011;1;1;2015/04/02
31;DEV;45659;2672;1;1;2015/04/02
32;DEV;45659;3036;1;1;2015/04/02
33;DEV;45659;2718;1;1;2015/04/02
34;DEV;45659;2719;1;1;2015/04/02
35;DEV;45659;4756;1;1;2015/04/02
36;DEV;45659;3033;2;1;2015/04/02
37;DEV;45659;4243;2;1;2015/04/02
38;DEV;45659;3038;2;1;2015/04/02
39;DEV;45659;3041;1;1;2015/04/02
40;DEV;45659;3035;1;1;2015/04/02
41;DEV;45659;3037;1;1;2015/04/02
42;DEV;45659;4751;1;1;2015/04/02
