id;procedencia;id_at;designacion;ref;SAP;id_prod;medida;us_crea;date_crea;us_modif;date_modif
1;,;1;Cubrejunta con 2 agujeros 19 mm2 y perno;8WL1018-0;A2V00000201340;1334;Ud;1;2015-05-12;0;0000-00-00
2;,;1;Brida gemela 19 con bulón;8WL1018-3_DBB:202015A;A2V00000200707;1285;Ud;1;2015-05-12;0;0000-00-00
3;,;1;Chapa con dos agujeros 19, t=8mm,;8WL1028-0_DBB:202002X-01;A2V00000200681;1316;Ud;1;2015-05-12;0;0000-00-00
4;,;1;Bulón DIN43161-19x52 acero;8WL1110-0;A2V00000201497;1292;Ud;1;2015-05-12;0;0000-00-00
5;,;1;Bulón DIN43161-19x52-Al;8WL1110-3;A2V00000200901;1294;Ud;1;2015-05-12;0;0000-00-00
6;,;1;Bulón DIN43161-19x100-Al;8WL1112-3;A2V00000200905;1293;Ud;1;2015-05-12;0;0000-00-00
7;,;1;Grupilla beta para pasadores d=19mm;8WL1114-8_DBB:202020X-01;A2V00000200737;1367;Ud;1;2015-05-12;0;0000-00-00
8;,;1;Grapa de amarre tipo cuña 19;8WL1180-7;A2V00000201609;1352;Ud;1;2015-05-12;0;0000-00-00
9;,;1;Cuña con un agujero K1/GTW40-tZn;8WL1201-0_DBB:200207X-02;A2V00000200657;1337;Ud;1;2015-05-12;0;0000-00-00
10;,;1;Cuña con 2 agujeros K2 GTW40-tZn;8WL1202-0_DBB:200207X-03;A2V00000200658;1336;Ud;1;2015-05-12;0;0000-00-00
11;,;1;Cuña especial para cable de acero 50mm2;8WL1202-3;A2V00000201635;1338;Ud;1;2015-05-12;0;0000-00-00
12;,;1;Borna de arriostramiento cónica 19-120;8WL1214-0;A2V00000201651;1279;Ud;1;2015-05-12;0;0000-00-00
13;,;1;Grifa de anclaje cónica 19/AC-120;8WL1237-2_DBB:200210A;A2V00000200661;1353;Ud;1;2015-05-12;0;0000-00-00
14;,;1;Guardacabo DIN43154-35-E-Cu;8WL1501-0_DBB:200111X-03;A2V00000200638;1369;Ud;1;2015-05-12;0;0000-00-00
15;,;1;Guardacabos DIN43154-35,Acero inoxidable;8WL1501-1;A2V00000200639;1370;Ud;1;2015-05-12;0;0000-00-00
16;,;1;Casquillo de empalme 35-60 mm2, E-Cu.;8WL1523-1;A2V00000201749;1385;Ud;1;2015-05-12;0;0000-00-00
17;,;1;Conector de compresión B16-A2F50;8WL1553-0_DBB:200107X-06;A2V00000200635;1384;Ud;1;2015-05-12;0;0000-00-00
18;,;1;Terminal para cable DIN46235-10-35-E-Cu;8WL1577-0;A2V00000201767;1473;Ud;1;2015-05-12;0;0000-00-00
19;,;1;Casquillo 120-130, Alcu;8WL1614-3;A2V00000200453;1314;Ud;1;2015-05-12;0;0000-00-00
20;,;1;Borna de sujeción para hdc;8WL2003-3;A2V00000201858;1280;Ud;1;2015-05-12;0;0000-00-00
21;,;1;Brida de cable sustentador 55/19 tubo de punta aluminio.;8WL2034-3;A2V00001096363;1282;Ud;1;2015-05-12;0;0000-00-00
22;,;1;Terminal en gancho para articulación 26;8WL2101-4;A2V00000201967;1467;Ud;1;2015-05-12;0;0000-00-00
23;,;1;Terminal tipo gancho tubo 42;8WL2104-1;A2V00000201978;1464;Ud;1;2015-05-12;0;0000-00-00
24;,;1;Terminal tipo gancho tubo 55;8WL2104-2;A2V00000201979;1465;Ud;1;2015-05-12;0;0000-00-00
25;,;1;Abrazadera de ojal para tubo 55;8WL2114-1;A2V00000200150;1220;Ud;1;2015-05-12;0;0000-00-00
26;,;1;Abrazadera de ojal para tubo de 55 aluminio.;8WL2115-1_DBB:059645B;A2V00000200123;1221;Ud;1;2015-05-12;0;0000-00-00
27;,;1;Soporte de brazo atirantado, tubo 42;8WL2118-1_DBB:059662A;A2V00000200156;1432;Ud;1;2015-05-12;0;0000-00-00
28;,;1;Soporte brazo de atirantado 55 H=70;8WL2118-2_DBB:059662B;A2V00000200157;1433;Ud;1;2015-05-12;0;0000-00-00
29;,;1;Terminal en horquilla para articulación 42;8WL2121-4;A2V00000202036;1470;Ud;1;2015-05-12;0;0000-00-00
30;,;1;Terminal en horquilla para articulación 55;8WL2121-5;A2V00000202037;1471;Ud;1;2015-05-12;0;0000-00-00
31;,;1;Soporte de articulación;8WL2124-3;A2V00000202045;1412;Ud;1;2015-05-12;0;0000-00-00
32;,;1;Soporte de articulación DIN 1725-G-/GK-AlSi7Mg WA;8WL2124-4;A2V00000200212;1427;Ud;1;2015-05-12;0;0000-00-00
