id;id_prod;id_alm;id_ubic
1;1;1;22
2;2;;4
3;3;;4
4;4;;42
5;5;;42
6;6;;42
7;7;;42
8;8;;22
9;9;;42
10;10;;42
11;11;;42
12;12;;42
13;13;;42
14;14;;43
15;15;;43
16;16;;43
17;17;;23
18;18;;43
19;19;;42
20;20;;22
21;21;;27
22;22;;22
23;23;;22
24;24;;27
25;25;;27
26;26;;22
27;27;;22
28;28;;22
29;29;;27
30;30;;27
31;31;;27
32;32;;22
33;33;;42
34;34;;27
35;35;;23
36;36;;162
37;37;;162
38;38;;162
39;39;;162
40;40;;23
41;41;;23
42;42;;7
43;43;;7
44;44;;27
45;45;;42
46;46;;23
47;47;;23
48;48;;42
49;49;;42
50;50;;42
51;51;;43
52;52;;42
53;53;;4
54;54;;31
55;55;;26
56;56;;2
57;57;;4
58;58;;4
59;59;;2
60;60;;4
61;61;;24
62;62;;24
63;63;;4
64;64;;24
65;65;;43
66;66;;1
67;67;;1
68;68;;1
69;69;;3
70;70;;2
71;71;;21
72;72;;1
73;73;;26
74;74;;24
75;75;;23
76;76;;23
77;77;;23
78;78;;23
79;79;;26
80;80;;7
81;81;;2
82;82;;2
83;83;;4
84;84;;2
85;85;;2
86;86;;63
87;87;;63
88;88;;63
89;89;;63
90;90;;42
91;91;;63
92;92;;62
93;93;;62
94;94;;62
95;95;;62
96;96;;63
97;97;;63
98;98;;27
99;99;;43
100;100;;22
101;101;;4
102;102;;23
103;103;;4
104;104;;32
105;105;;161
106;106;;4
107;107;;22
108;108;;63
109;109;;63
110;110;;63
111;111;;63
112;112;;63
113;113;;63
114;114;;63
115;115;;63
116;116;;63
117;117;;63
118;118;;169
119;119;;167
120;120;;63
121;121;;62
122;122;;62
123;123;;62
124;124;;62
125;125;;28
126;126;;27
127;127;;62
128;128;;62
129;129;;62
130;130;;62
131;131;;62
132;132;;62
133;133;;63
134;134;;63
135;135;;63
136;136;;63
137;137;;63
138;138;;63
139;139;;63
140;140;;163
141;141;;62
142;142;;2
143;143;;2
144;144;;31
145;145;;8
146;146;;31
147;147;;22
148;148;;21
149;149;;21
150;150;;21
151;151;;23
152;152;;8
153;153;;8
154;154;;2
155;155;;36
156;156;;36
157;157;;36
158;158;;36
159;159;;12
160;160;;173
161;161;;173
162;162;;173
163;163;;173
164;164;;173
165;165;;12
166;166;;12
167;167;;6
168;168;;6
169;169;;6
170;170;;6
171;171;;13
172;172;;11
173;173;;11
174;174;;173
175;175;;161
176;176;;3
177;177;;3
178;178;;42
179;179;;42
180;180;;3
181;181;;161
182;182;;22
183;183;;22
184;184;;62
185;185;;62
186;186;;3
187;187;;4
188;188;;162
189;189;;7
190;190;;7
191;191;;7
192;192;;7
193;193;;7
194;194;;7
195;195;;161
196;196;;47
197;197;;47
198;198;;47
199;199;;47
200;200;;161
201;201;;34
202;202;;47
203;203;;47
204;204;;33
205;205;;47
206;206;;33
207;207;;33
208;208;;33
209;209;;163
210;210;;47
211;211;;90
212;212;;33
213;213;;163
214;214;;168
215;215;;169
216;216;;168
217;217;;168
218;218;;169
219;219;;168
220;220;;169
221;221;;163
222;222;;163
223;223;;168
224;224;;163
225;225;;168
226;226;;141
227;227;;141
228;228;;141
229;229;;141
230;230;;141
231;231;;141
232;232;;141
233;233;;141
234;234;;141
235;235;;141
236;236;;167
237;237;;168
238;238;;167
239;239;;141
